상품명,유형,납기,1차년 성적률,2차년 성적률,3차년 성적률,전략건강여부
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),5년납,95,75,25,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),7년납,150,65,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),10년납,205,85,45,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),12년납,225,100,30,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),15년납,275,90,60,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),20년납,330,90,160,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),5년납,130,50,25,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),7년납,170,55,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),10년납,225,115,25,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),12년납,245,110,25,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),15년납,290,120,45,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),20년납,330,160,165,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),5년납,75,70,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),7년납,125,55,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),10년납,185,60,55,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),12년납,215,50,30,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),15년납,245,65,50,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),20년납,290,75,165,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),5년납,95,40,20,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),7년납,130,40,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),10년납,170,85,20,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),12년납,190,90,30,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),15년납,215,90,30,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),20년납,265,160,50,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),5년납,105,40,20,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),7년납,140,45,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),10년납,180,90,20,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),12년납,205,95,30,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),15년납,235,95,35,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),20년납,285,180,60,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),5년납,70,55,5,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),7년납,115,30,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),10년납,160,60,15,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),12년납,170,55,10,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),15년납,205,65,15,N
(무) 10년 더 드림 플러스 유니버셜 종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),20년납,245,120,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),5년납,105,65,10,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),7년납,150,45,15,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),10년납,225,55,90,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),12년납,245,70,85,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),15년납,285,65,55,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금보증형),20년납,330,80,190,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),5년납,130,55,10,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),7년납,160,45,15,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),10년납,245,75,85,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),12년납,265,95,70,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),15년납,320,70,55,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금보증형),20년납,330,140,195,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),5년납,95,60,10,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),7년납,130,30,5,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),10년납,205,50,55,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),12년납,225,60,55,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),15년납,265,55,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금보증형),20년납,310,65,120,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),5년납,100,35,5,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),7년납,115,55,20,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),10년납,200,65,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),12년납,215,80,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),15년납,245,60,10,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),100%형(해지환급금미보증형),20년납,330,80,40,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),5년납,115,30,5,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),7년납,120,55,20,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),10년납,215,70,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),12년납,235,85,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),15년납,265,65,10,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),50%형(해지환급금미보증형),20년납,330,105,50,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),5년납,85,25,5,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),7년납,95,45,15,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),10년납,160,50,25,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),12년납,170,65,20,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),15년납,200,50,10,N
(무) 10년 더 드림 플러스 유니버셜 간편종신보험 (보증비용부과형) (2301),체증형(해지환급금미보증형),20년납,330,80,40,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),일반심사형기본형,7년납,140,45,25,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),일반심사형기본형,10년납,205,140,75,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),일반심사형기본형,20년납,285,175,105,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),일반심사형체증형,7년납,155,65,20,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),일반심사형체증형,10년납,205,115,50,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),일반심사형체증형,20년납,290,135,90,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),간편심사형기본형,7년납,140,45,25,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),간편심사형기본형,10년납,205,140,75,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),간편심사형기본형,20년납,285,175,105,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),간편심사형체증형,7년납,155,65,20,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),간편심사형체증형,10년납,205,115,50,N
무배당 백년친구 뉴-알차고 행복한 플러스 종신보험(해지환급금 일부지급형)(2401),간편심사형체증형,20년납↑,290,135,90,N
무배당 백년친구 New 내가고른 건강보험(2404),해약환급금미지급형,10년납,160,55,40,Y
무배당 백년친구 New 내가고른 건강보험(2404),해약환급금미지급형,15년납,225,75,55,Y
무배당 백년친구 New 내가고른 건강보험(2404),해약환급금미지급형,20년납↑,320,90,100,Y
무배당 백년친구 New 내가고른 건강보험(2404),표준형,10년납,150,50,40,Y
무배당 백년친구 New 내가고른 건강보험(2404),표준형,15년납,215,75,50,Y
무배당 백년친구 New 내가고른 건강보험(2404),표준형,20년납↑,310,40,130,Y
무배당 백년친구 New 내가고른 건강보험(갱신형)(2404),주계약,10년납,160,55,40,Y
무배당 백년친구 New 내가고른 건강보험(갱신형)(2404),주계약,20년납,320,90,100,Y
무배당 백년친구 New 간편N 내가고른 건강보험(2404),해약환급금미지급형,10년납,160,55,40,Y
무배당 백년친구 New 간편N 내가고른 건강보험(2404),해약환급금미지급형,15년납,225,75,55,Y
무배당 백년친구 New 간편N 내가고른 건강보험(2404),해약환급금미지급형,20년납↑,320,75,85,Y
무배당 백년친구 New 간편N 내가고른 건강보험(2404),표준형,10년납,150,50,40,Y
무배당 백년친구 New 간편N 내가고른 건강보험(2404),표준형,15년납,215,75,50,Y
무배당 백년친구 New 간편N 내가고른 건강보험(2404),표준형,20년납↑,310,40,95,Y
뉴-암종신보험(2404),해약환급금 일부지급형,5년납,120,35,5,Y
뉴-암종신보험(2404),해약환급금 일부지급형,7년납,150,45,10,Y
뉴-암종신보험(2404),해약환급금 일부지급형,10년납,190,50,10,Y
뉴-암종신보험(2404),해약환급금 일부지급형,12년납,205,55,10,Y
뉴-암종신보험(2404),해약환급금 일부지급형,15년납,255,60,10,Y
뉴-암종신보험(2404),해약환급금 일부지급형,20년납↑,290,165,75,Y
뉴-암종신보험(2404),표준형,5년납,65,55,10,Y
뉴-암종신보험(2404),표준형,7년납,120,35,5,Y
뉴-암종신보험(2404),표준형,10년납,150,40,10,Y
뉴-암종신보험(2404),표준형,12년납,170,40,10,Y
뉴-암종신보험(2404),표준형,15년납,200,45,5,Y
뉴-암종신보험(2404),표준형,20년납↑,285,105,25,Y
간편한(325) 뉴- 암종신보험(2404),해약환급금 일부지급형,5년납,120,35,5,Y
간편한(325) 뉴- 암종신보험(2404),해약환급금 일부지급형,7년납,150,45,10,Y
간편한(325) 뉴- 암종신보험(2404),해약환급금 일부지급형,10년납,190,50,10,Y
간편한(325) 뉴- 암종신보험(2404),해약환급금 일부지급형,12년납,205,55,10,Y
간편한(325) 뉴- 암종신보험(2404),해약환급금 일부지급형,15년납,255,60,10,Y
간편한(325) 뉴- 암종신보험(2404),해약환급금 일부지급형,20년납↑,290,165,75,Y
간편한(325) 뉴- 암종신보험(2404),표준형,5년납,65,55,10,Y
간편한(325) 뉴- 암종신보험(2404),표준형,7년납,120,35,5,Y
간편한(325) 뉴- 암종신보험(2404),표준형,10년납,150,40,10,Y
간편한(325) 뉴- 암종신보험(2404),표준형,12년납,170,40,10,Y
간편한(325) 뉴- 암종신보험(2404),표준형,15년납,200,45,5,Y
간편한(325) 뉴- 암종신보험(2404),표준형,20년납↑,285,105,25,Y
백년친구 세번받을수있는 건강종신보험(2304),해지환급금 일부지급형,5년납,120,30,10,Y
백년친구 세번받을수있는 건강종신보험(2304),해지환급금 일부지급형,7년납,140,30,5,Y
백년친구 세번받을수있는 건강종신보험(2304),해지환급금 일부지급형,10년납,235,55,30,Y
백년친구 세번받을수있는 건강종신보험(2304),해지환급금 일부지급형,12년납,265,65,20,Y
백년친구 세번받을수있는 건강종신보험(2304),해지환급금 일부지급형,15년납,285,70,10,Y
백년친구 세번받을수있는 건강종신보험(2304),해지환급금 일부지급형,20년납↑,330,175,70,Y
백년친구 세번받을수있는 건강종신보험(2304),표준형,5년납,95,30,5,Y
백년친구 세번받을수있는 건강종신보험(2304),표준형,7년납,105,35,10,Y
백년친구 세번받을수있는 건강종신보험(2304),표준형,10년납,200,50,15,Y
백년친구 세번받을수있는 건강종신보험(2304),표준형,12년납,215,50,15,Y
백년친구 세번받을수있는 건강종신보험(2304),표준형,15년납,225,50,25,Y
백년친구 세번받을수있는 건강종신보험(2304),표준형,20년납↑,285,130,40,Y
(무)백년친구 변액유니버셜 간편종신보험(2107),50%형,5년납,130,80,10,N
(무)백년친구 변액유니버셜 간편종신보험(2107),50%형,7년납,200,45,10,N
(무)백년친구 변액유니버셜 간편종신보험(2107),50%형,10년납,275,70,10,N
(무)백년친구 변액유니버셜 간편종신보험(2107),50%형,12년납,285,120,10,N
(무)백년친구 변액유니버셜 간편종신보험(2107),50%형,15년납,330,135,35,N
(무)백년친구 변액유니버셜 간편종신보험(2107),50%형,20년납↑,330,215,100,N
(무)백년친구 변액유니버셜 간편종신보험(2107),100%형,5년납,120,65,20,N
(무)백년친구 변액유니버셜 간편종신보험(2107),100%형,7년납,180,55,15,N
(무)백년친구 변액유니버셜 간편종신보험(2107),100%형,10년납,245,65,20,N
(무)백년친구 변액유니버셜 간편종신보험(2107),100%형,12년납,265,80,20,N
(무)백년친구 변액유니버셜 간편종신보험(2107),100%형,15년납,310,75,25,N
(무)백년친구 변액유니버셜 간편종신보험(2107),100%형,20년납↑,330,145,75,N
무배당 백년친구 700 종신보험(해약환급금 일부지급형Ⅲ)(2403),주계약,20년납,255,75,55,N
무배당 백년친구 간편한 700 종신보험 (해약환급금 일부지급형Ⅲ)(2404),주계약,20년납,255,75,55,N
무배당 백년친구 암걱정말아요 암보험(2403),해약환급금 미지급형,10년납,160,55,40,Y
무배당 백년친구 암걱정말아요 암보험(2403),해약환급금 미지급형,15년납,225,75,55,Y
무배당 백년친구 암걱정말아요 암보험(2403),해약환급금 미지급형,20년납↑,320,90,100,Y
무배당 백년친구 암걱정말아요 암보험(2403),표준형,10년납,150,50,40,Y
무배당 백년친구 암걱정말아요 암보험(2403),표준형,15년납,215,75,50,Y
무배당 백년친구 암걱정말아요 암보험(2403),표준형,20년납↑,310,40,130,Y
무배당 백년친구 암걱정말아요 암보험(2403)(갱신형),주계약,10년납,160,55,40,Y
무배당 백년친구 암걱정말아요 암보험(2403)(갱신형),주계약,20년납↑,320,90,100,Y
무배당 백년친구 당신곁에 치매간병보험(2404),해약환급금 일부지급형,10년납,100,80,40,Y
무배당 백년친구 당신곁에 치매간병보험(2404),해약환급금 일부지급형,15년납,145,75,15,Y
무배당 백년친구 당신곁에 치매간병보험(2404),해약환급금 일부지급형,20년납,185,130,85,Y
무배당 백년친구 당신곁에 치매간병보험(2404),표준형,10년납,15,135,25,Y
무배당 백년친구 당신곁에 치매간병보험(2404),표준형,15년납,95,65,35,Y
무배당 백년친구 당신곁에 치매간병보험(2404),표준형,20년납,155,40,175,Y
무배당 백년친구 레이디케어 암보험(2311),해약환급금 미지급형,10년납,160,55,40,Y
무배당 백년친구 레이디케어 암보험(2311),해약환급금 미지급형,15년납,225,75,60,Y
무배당 백년친구 레이디케어 암보험(2311),해약환급금 미지급형,20년납↑,225,190,90,Y
무배당 백년친구 레이디케어 암보험(2311),표준형,10년납,90,90,65,Y
무배당 백년친구 레이디케어 암보험(2311),표준형,15년납,180,80,80,Y
무배당 백년친구 레이디케어 암보험(2311),표준형,20년납↑,225,105,155,Y
무배당 경영인 정기보험(2401),기본형,20년납미만,135,105,65,N
무배당 경영인 정기보험(2401),기본형,20년납,290,95,20,N
무배당 경영인 정기보험(2401),기본형,20년납초과,310,135,100,N
무배당 경영인 정기보험(2401),단계체증형,-,310,135,100,N
무배당 경영인 정기보험(2401),20%체증형,-,310,135,115,N
무배당 간편한 경영인 정기보험(2401),기본형,20년납미만,115,115,75,N
무배당 간편한 경영인 정기보험(2401),기본형,20년납,290,95,20,N
무배당 간편한 경영인 정기보험(2401),기본형,20년납초과,310,135,100,N
무배당 간편한 경영인 정기보험(2401),단계체증형,-,310,135,100,N
무배당 간편한 경영인 정기보험(2401),15%체증형,-,310,135,115,N
(무) 우리 미래 든든건강보험(2404),해지환급금미지급형(제로백),7년납,215,65,40,Y
(무) 우리 미래 든든건강보험(2404),해지환급금미지급형(제로백),10년납,300,100,60,Y
(무) 우리 미래 든든건강보험(2404),해지환급금미지급형(제로백),15년납,350,145,95,Y
(무) 우리 미래 든든건강보험(2404),해지환급금미지급형(제로백),20년납↑,350,180,130,Y
(무) 우리 미래 든든건강보험(2404),표준형,7년납,115,100,70,Y
(무) 우리 미래 든든건강보험(2404),표준형,10년납,200,130,80,Y
(무) 우리 미래 든든건강보험(2404),표준형,15년납,320,130,90,Y
(무) 우리 미래 든든건강보험(2404),표준형,20년납↑,320,160,120,Y
참 이로운 치아보험(갱신형)(2004),주보험,전건,310,80,10,N
무배당 백년친구 내생애든든연금보험(2204),주보험,7년납,40,20,5,N
무배당 백년친구 내생애든든연금보험(2204),주보험,10년납↑,95,30,5,N
(무)DB 기본형 급여 실손의료비보장보험(갱신형)(2211),주보험,1년납,50,0,0,N
